,Year,GDP,Gross Capital Formation,Final consumption expenditure,Government final consumption expenditure,GDP per capita,Manufacturing share of GDP,Industry share of GDP,Services share of GDP,Agriculture share of GDP,FDI (net inflows in $),Inflation consumer prices (annual %),Unemployment rate,Labor force participation rate (ages 15-64)
43,2003-01-01,607700687237.318,187413068492.144,439853560056.088,66094802386.139,544.143133545002,15.587386648646,27.4741071211988,44.7046456542143,19.5919979784251,3681984671.43428,3.80585899528853,7.633,61.955
44,2004-01-01,709152728830.775,248887728627.02,487586825156.845,73785230628.5655,624.258826510066,15.8272457405027,29.219106305293,44.1148589722471,17.8146906487994,5429250989.85717,3.76725173477517,7.598,61.8
45,2005-01-01,820383763511.445,307055400956.369,555767915180.741,85042131081.0356,710.488080408949,15.9730170446131,29.5337641914637,44.4429329227804,17.6202069548839,7269407225.61438,4.24634362031924,7.551,61.646
46,2006-01-01,940259888787.721,366687312639.919,619748008187.936,92168697919.314,801.668353659022,17.3036533311925,30.9272399435883,44.043235711462,16.8094420944381,20029119267.1396,5.79652337561634,7.553,60.664
47,2007-01-01,1216736438834.96,510430648406.794,798454412444.285,119995955707.838,1021.88707706826,16.8645677754068,30.9032382510869,44.0081579238245,16.7501197597569,25227740886.6819,6.37288135593231,7.562,59.7
48,2008-01-01,1198895139005.92,460644521506.104,805840930055.577,126345338308.574,992.519584923828,17.0986741489578,31.1367192409548,45.8825499068249,16.7909423598037,43406277075.8108,8.34926704907575,7.629,58.759
49,2009-01-01,1341888016994.9,526782184418.779,904694941529.583,153775903892.302,1094.94974598436,17.1435776672846,31.1213721116744,45.9848828116978,16.7442701563161,35581372929.6641,10.8823529411764,7.636,57.843
50,2010-01-01,1675615519484.96,666654093364.027,1101423395426.84,184445185751.038,1347.51939071367,17.0299342498624,30.7250782285817,45.0337495625601,17.0265090136912,27396885033.7838,11.9893899204245,7.631,56.953
51,2011-01-01,1823051829894.55,721753910094.54,1226762206704.93,202075479769.498,1445.46127486037,16.1393374446289,30.1616797630407,45.4421452512796,17.191973558015,36498654597.8589,8.9117933648336,7.609,56.314
52,2012-01-01,1827637590410.41,700851783791.42,1227163787956.24,195262172598.014,1429.32199520032,15.8169230071066,29.3985276965289,46.3011472980511,16.8453770661356,23995685014.2141,9.47899691419793,7.645,55.693
53,2013-01-01,1856721507621.58,631716032985.4,1261473789841.71,191152452599.851,1432.84397512195,15.253022692586,28.4048995600246,46.6987147692338,17.1484235433697,28153031270.3202,10.0178784746104,7.678,55.608
54,2014-01-01,2039126479154.52,698763898362.984,1398199946965.86,212902275825.009,1553.88396075118,15.0655701107589,27.6564012026443,47.8224137556558,16.7919345145039,34576643694.1382,6.66565671867899,7.656,55.518
55,2015-01-01,2103588360044.94,675603796764.315,1460638605841.84,219368309510.089,1583.99815907985,15.5838545863713,27.34739147794,47.7837481204463,16.1745081068401,44009492129.5319,4.90697344127249,7.629,55.422
56,2016-01-01,2294796885663.16,692401963751.449,1597266507251.49,236560240175.816,1707.50892912243,15.1622371332529,26.6189999399789,47.7494012900074,16.3638005616331,44458571545.798,4.94821634062134,7.611,55.326
57,2017-01-01,2651474262755.45,821484338748.471,1842571738536.49,285489509105.813,1950.10468280866,15.0182387501718,26.5000166464804,47.6708899682407,16.5583314049368,39966091358.7384,3.32817337461305,7.626,55.23
58,2018-01-01,2702929641648.74,874214432208.492,1895065633048.24,292543981715.747,1966.25455171679,14.8815306673017,26.4120919013735,48.4315663156522,16.031630686449,42117450737.2644,3.93882646691643,7.652,55.13
59,2019-01-01,2835606256558.19,853409661240.451,2039196838460.67,311992555245.969,2041.42863698585,13.4558075633394,24.5914753075066,50.0849578546822,16.7555683032837,50610647353.5911,3.72950573539123,6.51,55.026
60,2020-01-01,2674851578587.27,773630845204.822,1944900126912.7,310615866617.677,1907.04251637669,14.1204853576923,25.1229058078344,47.9326881092162,18.6685376603727,64362364994.3754,6.6234367762853,7.859,54.374
61,2021-01-01,3167270623260.47,1017195001183.23,2262278719279.24,331815250379.339,2239.61384367482,14.3770288531286,26.466523606501,47.8472234596709,17.3725615260314,44727277562.881,5.13140747176364,6.38,55.481
62,2022-01-01,3249938492013.47,1118362211658.41,2216646645807.27,359729310267.292,2279.98145719369,13.3327202623974,25.6040259797277,47.1727519374304,18.2106659929942,49940258404.2659,6.69903414079858,4.822,56.666
63,2023-01-01,3500906030644.76,1207976575397.55,2349411064258.95,371288522762.326,2434.44826340989,13.312843875072,25.5525555206094,47.5864648020094,17.6565389328245,28086193530.3979,5.64914318907925,4.172,57.925
64,2024-01-01,3760813470500.86,1291685460935.73,2526253773623.48,401455733947.547,2591.9916607122,13.1392199491326,25.1722625905927,47.9706270733631,17.5735799524173,27139853378.1402,4.95303550973661,4.173,58.991
65,2025-01-01,3956067115771.63,1368918097792.96,2667991729500.6,426049018616.505,2702.47987141553,13.4710550684648,25.2049600095376,49.337715077834,16.2342483910129,39097233086.2133,2.39884954182294,4.219,59.11
